12019951,Outside 1,The Grove,53.3162426,-1.5351165,Kanzan Cherry,Damage to Surface,Canadian Crab
12019949,Outside 3,The Grove,53.3162442,-1.5352797,Kanzan Cherry,Damage to Surface,Canadian Crab
12019947,Outside 7,The Grove,53.3162475,-1.5356062,Kanzan Cherry,Damage to Surface,Canadian Crab
12019935,Outside 45,The Quadrant,53.317436,-1.5334675,Common Laburnum,Structural Integrity,Canadian Crab
12019939,Outside 21b,The Quadrant,53.3175402,-1.5318921,Kanzan Cherry,Damage to Surface,Canadian Crab
12019937,Outside 23A,The Quadrant,53.3172945,-1.5325827,Kanzan Cherry,Damage to Surface,Canadian Crab
12019799,Outside 126,Totley Brook Road,53.3183282,-1.5373648,Common Lime,Damage to Surface,Lime
12019793,Outside 88,Totley Brook Road,53.318546,-1.5348947,Common Lime,Damage to Surface,Lime
12019795,Outside 90,Totley Brook Road,53.3187704,-1.533156,Common Lime,Damage to Surface,Lime
12019797,Outside 100,Totley Brook Road,53.3186737,-1.5333813,Common Lime,Damage to Surface,Lime
12018112,Outside 55,Townhead Road,53.3262161,-1.5424944,European Beech,Structural Integrity,European Beech
12010508,Outside 107,Townhead Road,53.3252323,-1.5471241,Willow,Structural Integrity,Hawthorn
12019695,Outside 1,Vernon Road,53.3221118,-1.5283009,English Oak,Damage to Surface,Canadian Maple - October Glory
